符合條件商品
資料日期：2026年  4月 30日
策略,	5-10-20向上
"序號","代碼","商品","成交","漲幅%","總量","現價","股本(億)","20日均量","60日外資增減(張)","產業",細產業
1	,"1595.TW","川寶","72.8","9.97","5209","72.8","5.4","2822","1527","上櫃電子零組件",PCB相關設備,半導體製程設備,設備儀器商
2	,"3707.TW","漢磊","66.2","9.97","33317","66.2","39.6","8801","1420","上櫃半導體",晶圓代工,第三類半導體,磊晶,IC製造
3	,"1597.TW","直得","143.5","9.96","4525","143.5","8.9","4650","2687","上市電機機械",機械零組件,滑軌
4	,"6405.TW","悅城","50.9","9.94","1949","50.9","6.6","2133","1514","上市光電",面板零組件,玻璃基板加工
5	,"8027.TW","鈦昇","193.5","9.94","13762","193.5","11","13840","8219","上櫃電機機械",半導體製程設備,設備儀器商,封測用設備
6	,"3016.TW","嘉晶","89.7","9.93","3050","89.7","28.9","4969","13125","上市半導體",第三類半導體,磊晶,矽晶圓,IC製造
7	,"6485.TW","點序","87.6","9.91","1380","87.6","4.7","628","2471","上櫃半導體",FLASH記憶體IC,IC設計,記憶卡IC,SSD控制IC
8	,"4576.TW","大銀微系統","222","9.9","10276","222","12","4465","5338","上市電機機械",機械零組件,氣動元件
9	,"2233.TW","宇隆","300","9.89","6174","300","6","1528","1972","上市汽車",汽機車零組件,傳產其他,金屬加工/製品,機械零組件,自行車零件,減速機,產業機械
10	,"6234.TW","高僑","52.8","9.89","3943","52.8","10","6009","7123","上櫃光電",雷射鑽孔機、鑽頭,印刷電路板相關,設備儀器商
11	,"3581.TW","博磊","179.5","9.79","704","179.5","5.1","1334","1316","上櫃半導體",設備儀器商,封測服務與材料,封測用設備
12	,"6207.TW","雷科","64.5","9.69","14953","64.5","8","3234","4238","上櫃電子零組件",其他電子零件,電子零件元件,設備儀器商
13	,"4951.TW","精拓科","119","9.68","4631","119","3.4","661","80","上櫃半導體",類比IC,IO控制IC,IC設計,消費性IC,PC週邊IC,嵌入式晶片
14	,"8064.TW","東捷","104","9.59","4237","104","18.5","16174","2784","上櫃光電",設備儀器商,LED設備,面板設備
15	,"6415.TW","矽力*-KY","427","8.65","3526","427","9.7","7833","17247","上市半導體",IC設計,LED驅動IC,電源管理IC
16	,"4540.TW","全球傳動","68.5","7.87","27140","68.5","11.5","8164","10631","上市電機機械",機械零組件,滑軌
17	,"7750.TW","新代","2575","7.29","776","2575","7.2","641","2087","上市電機機械",工具機,工具機控制器,工具機主軸
18	,"3680.TW","家登","537","7.19","8315","537","9.6","3964","5616","上櫃半導體",半導體製程設備,設備儀器商
19	,"3229.TW","晟鈦","40.05","6.94","772","40.05","6.4","782","313","上市電子零組件",PCB材料,印刷電路板,印刷電路板相關
